URL,popularity,song_title,year
http://www.metrolyrics.com/carnival-of-sorts-box-cars-lyrics-rem.html,0,Carnival Of Sorts (box Cars) Lyrics,2006
http://www.metrolyrics.com/catapult-lyrics-rem.html,1,Catapult Lyrics,2006
http://www.metrolyrics.com/chance-lyrics-rem.html,0,Chance Lyrics,2006
http://www.metrolyrics.com/chorus-and-he-ring-lyrics-rem.html,0,Chorus and he Ring Lyrics,2016
http://www.metrolyrics.com/chorus-and-the-ring-lyrics-rem.html,0,Chorus And The Ring Lyrics,2006
http://www.metrolyrics.com/christmas-griping-lyrics-rem.html,0,Christmas Griping Lyrics,2018
http://www.metrolyrics.com/circus-envy-lyrics-rem.html,0,Circus Envy Lyrics,2006
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,3,Country Feedback Lyrics,2011
http://www.metrolyrics.com/crazy-lyrics-rem.html,2,Crazy Lyrics,2006
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,3,Crush With Eyeliner Lyrics,2006
http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,1,Cuyahoga Lyrics,2014
http://www.metrolyrics.com/dangerous-times-lyrics-rem.html,0,Dangerous Times Lyrics,2006
http://www.metrolyrics.com/dark-globe-lyrics-rem.html,0,Dark Globe Lyrics,2006
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,3,Daysleeper Lyrics,2003
http://www.metrolyrics.com/deck-the-halls-lyrics-rem.html,0,Deck The Halls Lyrics,2016
http://www.metrolyrics.com/departure-lyrics-rem.html,0,Departure Lyrics,2006
http://www.metrolyrics.com/diminished-lyrics-rem.html,0,Diminished Lyrics,2006
http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,0,Diminished/I'm Not Over You Lyrics,2016
http://www.metrolyrics.com/disappear-lyrics-rem.html,1,Disappear Lyrics,2014
http://www.metrolyrics.com/discover-lyrics-rem.html,0,Discover Lyrics,2010
http://www.metrolyrics.com/discoverer-lyrics-rem.html,0,Discoverer Lyrics,2011
http://www.metrolyrics.com/disguised-lyrics-rem.html,1,Disguised Lyrics,2016
http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,1,Disturbance At The Heron House Lyrics,2008
http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,0,Don't Go Back To Rockville Lyrics,2011
http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,0,Draggin' The Line Lyrics,2006
http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,0,Dragging The Line Lyrics,2007
http://www.metrolyrics.com/drive-lyrics-rem.html,4,Drive Lyrics,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,2,Driver 8 Lyrics,2011
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,3,E-bow The Letter Lyrics,2003
http://www.metrolyrics.com/electrolite-lyrics-rem.html,2,Electrolite Lyrics,2003
http://www.metrolyrics.com/electron-blue-lyrics-rem.html,0,Electron Blue Lyrics,2004
http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,0,"Eleventh, Untitled Song Lyrics",2006
http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,0,End of the World As We Know It Lyrics,2007
http://www.metrolyrics.com/endgame-lyrics-rem.html,0,ENDGAME Lyrics,2014
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,5,Everbody Hurts Lyrics,2006
http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,0,Every Day Is Yours to Win Lyrics,2011
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,6,Everybody Hurts Lyrics,2003
http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,0,Exhuming Mccarthy Lyrics,2008
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,6,Fall On Me Lyrics,2011
http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,0,Falls To Climb Lyrics,2006
http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,0,Feeling Gravity's Pull Lyrics,2006
http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,0,Femme Fatale Lyrics,2006
http://www.metrolyrics.com/final-straw-lyrics-rem.html,0,Final Straw Lyrics,2008
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,4,Find The River Lyrics,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,1,Finest Worksong Lyrics,2008
http://www.metrolyrics.com/fireplace-lyrics-rem.html,0,Fireplace Lyrics,2008
http://www.metrolyrics.com/first-we-take-manhattan-lyrics-rem.html,0,First We Take Manhattan Lyrics,2006
http://www.metrolyrics.com/fretless-lyrics-rem.html,2,Fretless Lyrics,2014
http://www.metrolyrics.com/funtime-lyrics-rem.html,0,Funtime Lyrics,2006
http://www.metrolyrics.com/furry-happy-monsters-lyrics-rem.html,0,Furry Happy Monsters Lyrics,2007
http://www.metrolyrics.com/future-40s-string-of-pearls-lyrics-rem.html,4,Future 40's (string Of Pearls) Lyrics,2006
http://www.metrolyrics.com/gardening-at-night-lyrics-rem.html,2,Gardening At Night Lyrics,2011
http://www.metrolyrics.com/get-up-lyrics-rem.html,0,Get Up Lyrics,2011
http://www.metrolyrics.com/ghost-rider-lyrics-rem.html,0,Ghost Rider Lyrics,2006
http://www.metrolyrics.com/good-advices-lyrics-rem.html,0,Good Advices Lyrics,2006
http://www.metrolyrics.com/green-grow-the-rushes-lyrics-rem.html,1,Green Grow The Rushes Lyrics,2006
http://www.metrolyrics.com/hairshirt-lyrics-rem.html,0,Hairshirt Lyrics,2006
http://www.metrolyrics.com/half-a-world-away-lyrics-rem.html,0,Half A World Away Lyrics,2014
http://www.metrolyrics.com/hallellujah-lyrics-rem.html,0,Hallellujah Lyrics,2011
http://www.metrolyrics.com/hallelujah-lyrics-rem.html,0,Hallelujah Lyrics,2011
http://www.metrolyrics.com/harborcoat-lyrics-rem.html,0,Harborcoat Lyrics,2006
http://www.metrolyrics.com/hey-hey-nadine-lyrics-rem.html,0,"Hey, Hey, Nadine Lyrics",2006
http://www.metrolyrics.com/high-speed-train-lyrics-rem.html,0,High Speed Train Lyrics,2004
http://www.metrolyrics.com/hollow-man-lyrics-rem.html,2,Hollow Man Lyrics,2008
http://www.metrolyrics.com/hope-lyrics-rem.html,0,Hope Lyrics,2006
http://www.metrolyrics.com/horse-to-water-lyrics-rem.html,2,Horse To Water Lyrics,2008
http://www.metrolyrics.com/houston-lyrics-rem.html,1,Houston Lyrics,2008
http://www.metrolyrics.com/how-the-west-was-won-and-where-it-got-us-lyrics-rem.html,0,How The West Was Won And Where It Got Us Lyrics,2006
http://www.metrolyrics.com/hyena-lyrics-rem.html,1,Hyena Lyrics,2006
http://www.metrolyrics.com/i-believe-lyrics-rem.html,2,I Believe Lyrics,2006
http://www.metrolyrics.com/i-dont-sleep-i-dream-lyrics-rem.html,0,"I Don't Sleep, I Dream Lyrics",2006
http://www.metrolyrics.com/i-remember-california-lyrics-rem.html,0,I Remember California Lyrics,2006
http://www.metrolyrics.com/i-took-your-name-lyrics-rem.html,0,I Took Your Name Lyrics,2006
http://www.metrolyrics.com/i-walked-with-a-zombie-lyrics-rem.html,0,I Walked With A Zombie Lyrics,2006
http://www.metrolyrics.com/i-wanted-to-be-wrong-lyrics-rem.html,0,I Wanted to Be Wrong Lyrics,2004
http://www.metrolyrics.com/ill-take-the-rain-lyrics-rem.html,0,I'll Take The Rain Lyrics,2014
http://www.metrolyrics.com/im-gonna-dj-lyrics-rem.html,0,I'm Gonna DJ Lyrics,2008
http://www.metrolyrics.com/im-not-over-you-lyrics-rem.html,0,I'm Not Over You Lyrics,2006
http://www.metrolyrics.com/ive-been-high-lyrics-rem.html,0,I've Been High Lyrics,2014
http://www.metrolyrics.com/ignoreland-lyrics-rem.html,3,Ignoreland Lyrics,2006
http://www.metrolyrics.com/imitation-of-life-lyrics-rem.html,3,Imitation Of Life Lyrics,2003
http://www.metrolyrics.com/it-happened-today-lyrics-rem.html,0,It Happened Today Lyrics,2011
http://www.metrolyrics.com/it-happens-today-lyrics-rem.html,0,It Happens Today Lyrics,2011
http://www.metrolyrics.com/its-a-free-world-baby-lyrics-rem.html,0,It's A Free World Baby Lyrics,2006
http://www.metrolyrics.com/its-the-end-of-the-world-lyrics-rem.html,10,It's The End Of The World Lyrics,2008
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-lyrics-rem.html,3,It's The End of The World as We Know It Lyrics,2008
http://www.metrolyrics.com/its-the-end-of-the-world-as-we-know-it-and-i-feel-fine-lyrics-rem.html,5,It's The End Of The World As We Know It (and I Feel Fine) Lyrics,2014
http://www.metrolyrics.com/just-a-touch-lyrics-rem.html,0,Just a Touch Lyrics,2006
http://www.metrolyrics.com/king-of-birds-lyrics-rem.html,1,King of Birds Lyrics,2008
http://www.metrolyrics.com/king-of-comedy-lyrics-rem.html,0,King Of Comedy Lyrics,2006
http://www.metrolyrics.com/king-of-the-road-lyrics-rem.html,0,King Of The Road Lyrics,2006
http://www.metrolyrics.com/kohoutek-lyrics-rem.html,1,Kohoutek Lyrics,2006
http://www.metrolyrics.com/laughing-lyrics-rem.html,0,Laughing Lyrics,2006
http://www.metrolyrics.com/leave-lyrics-rem.html,0,Leave Lyrics,2006
http://www.metrolyrics.com/leaving-new-york-lyrics-rem.html,3,Leaving New York Lyrics,2004
http://www.metrolyrics.com/let-me-in-lyrics-rem.html,2,Let Me In Lyrics,2006
http://www.metrolyrics.com/letter-never-sent-lyrics-rem.html,0,Letter Never Sent Lyrics,2006
http://www.metrolyrics.com/life-and-how-to-live-it-lyrics-rem.html,0,Life And How To Live It Lyrics,2011
